Battery,CycleIndex,Capacity_Ah,Re,Rct,V_min,V_max,V_mean,T_mean,T_max,Duration_s,I_mean
B0005,1,1.8564874208181574,,,2.612467347907089,4.191491807505295,3.5298286688693397,32.572328114029,38.98218133148803,3690.234,1.818711710270297
B0005,2,1.846327249719927,,,2.587208728940726,4.189773213846608,3.5373201277859714,32.72523522519307,39.033397966787035,3672.344,1.8176438989718113
B0005,3,1.8353491942234077,,,2.6519168938437794,4.188186735991303,3.5437367282719,32.64286193755933,38.818796689817404,3651.641,1.8165423469233573
B0005,4,1.8352625275821128,,,2.592947964776547,4.188461118855572,3.5436661072601456,32.51487646204882,38.7623045063458,3631.563,1.8256179748849433
B0005,5,1.8346455082120419,,,2.547419651124539,4.188298524761055,3.5423432526672167,32.38234901543077,38.66539257343368,3629.172,1.8261478651693803
B0005,6,1.8356616600675495,,,2.5209480504077413,4.188815807948604,3.5413347346347575,32.43418218230641,38.75169504640032,3652.281,1.8168998532879652
B0005,7,1.8351461429226603,,,2.487927319492314,4.18839163793879,3.5410250495075215,32.480416444757985,38.8207012322275,3650.828,1.8168378953364732
B0005,8,1.8257567905665537,,,2.6652049047458775,4.188927891511958,3.554133296801584,32.41046186109587,38.51713023385634,3572.453,1.8444082717328028
B0005,9,1.8247738529891333,,,2.6038584726333673,4.189029250882121,3.5529355991467955,32.3461408313,38.526267904657,3550.594,1.854064004450843
B0005,10,1.824613268496936,,,2.552853984885676,4.189223427076418,3.5512057319376997,32.27679750791685,38.52698128472781,3551.25,1.853658588102974
B0005,11,1.8246195526864504,,,2.4724483018527317,4.188916055911241,3.549292319740949,32.15709350345252,38.54143406601644,3530.25,1.863423718930417
B0005,12,1.8142019357673917,,,2.64956413267546,4.189876247266316,3.559759220648976,32.36407129853099,38.52197451768004,3491.016,1.8730031464912946
B0005,13,1.8137521577549054,,,2.5724981777366227,4.189286794768804,3.558081969139198,32.3181954403762,38.582485834057856,3470.281,1.8826602424674959
B0005,14,1.8134404914735822,,,2.5249886697730286,4.188837765892728,3.555692244172496,32.15709029211502,38.520294134873915,3470.0,1.8825977111170087
B0005,15,1.8025980036306504,,,2.694621861688723,4.189110301768517,3.562746818017503,32.04407000314609,38.21358592965045,3450.297,1.8818235264274379
B0005,16,1.80210690024615,,,2.64010141737067,4.18921207304098,3.5614521756489204,31.931593674911532,38.1983618706913,3429.407,1.892259778387913
B0005,17,1.802579500826209,,,2.5739035098380962,4.188899969428112,3.5603420474985823,31.941655359029298,38.31926916027133,3409.484,1.9027782137498737
B0005,18,1.8030683142834096,,,2.4942396831720126,4.188779799856791,3.5591189041401865,31.965008645476725,38.4787542519308,3390.422,1.9133470605822436
B0005,19,1.8027776247196041,,,2.4556793246645583,4.189272591516219,3.557886771846508,31.966241678512723,38.54659017774874,3390.281,1.9132081421080984
B0005,20,1.8470259949329193,0.04466870036616091,0.06945627304536996,2.632142800798914,4.187614060563439,3.5520375235511907,32.37143341978575,38.44749852224995,3591.734,1.8554552597994574
B0005,21,1.847417311283644,0.044843430573346096,0.0679720560130687,2.5027764692056795,4.1876287811083985,3.5525668436897124,32.70024990461686,38.992275791716615,3552.297,1.8747434663359825
B0005,22,1.8361774213478947,0.04510114851143001,0.06852832896000328,2.617507742871704,4.187447226312926,3.556794038327039,32.32266411829938,38.51424197364312,3531.578,1.8738792670691689
B0005,23,1.8257807475776242,0.044172075577171746,0.06804449516996176,2.694074478000972,4.187344026387161,3.5614100044534203,31.98795810666763,38.165816144899125,3492.907,1.883276367037806
B0005,24,1.8251136435078368,0.043786628196075913,0.06845021227072765,2.6237674644021887,4.187438187636325,3.5566107947817986,31.894456524691385,38.16526203587147,3511.594,1.8733320556361162
B0005,25,1.8255815042203762,0.04463932198878524,0.0683410113732366,2.5010798299873738,4.18774138117799,3.5586742170266272,31.78039681801023,38.27549578575718,3431.9370000000054,1.9139789784762269
B0005,26,1.8140311275083907,0.043558785775475374,0.06868237655872211,2.6849988185249796,4.188261122540052,3.564103182686905,31.688747146342205,37.982160799183106,3431.125,1.9031048926498
B0005,27,1.8147691941158939,0.04526547818261783,0.0681437253042456,2.547109116468133,4.187338767288234,3.559588063594272,31.596747992569153,38.11100191887773,3412.406,1.913471143750189
